iter	Passed	Remaining
0	143	143100
1	144	72102
2	145	48371
3	146	36514
4	147	29415
5	149	24695
6	150	21292
7	151	18755
8	152	16773
9	153	15207
10	154	13926
11	156	12862
12	157	11949
13	158	11160
14	159	10491
15	160	9897
16	162	9377
17	164	8947
18	165	8535
19	166	8160
20	167	7821
21	169	7519
22	170	7235
23	172	6996
24	175	6836
25	177	6651
26	178	6438
27	179	6239
28	180	6058
29	182	5886
30	183	5747
31	185	5603
32	186	5466
33	187	5333
34	189	5211
35	190	5088
36	191	4974
37	192	4868
38	193	4767
39	194	4668
40	196	4588
41	197	4508
42	199	4432
43	200	4352
44	201	4277
45	202	4206
46	204	4136
47	205	4071
48	206	4006
49	208	3955
50	209	3897
51	210	3839
52	211	3781
53	212	3725
54	213	3671
55	215	3631
56	216	3581
57	217	3536
58	218	3492
59	220	3446
60	220	3401
61	222	3360
62	223	3318
63	224	3280
64	225	3240
65	226	3202
66	227	3165
67	227	3123
68	229	3092
69	230	3061
70	231	3031
71	233	3006
72	234	2981
73	236	2956
74	237	2931
75	238	2903
76	239	2875
77	241	2850
78	245	2861
79	247	2840
80	248	2816
81	249	2792
82	250	2768
83	251	2744
84	252	2717
85	253	2694
86	254	2668
87	255	2647
88	257	2630
89	258	2610
90	259	2595
91	261	2578
92	262	2561
93	263	2544
94	265	2526
95	266	2510
96	267	2494
97	269	2476
98	270	2461
99	271	2446
100	273	2430
101	274	2412
102	275	2398
103	276	2383
104	278	2370
105	279	2357
106	280	2342
107	282	2329
108	283	2315
109	284	2302
110	285	2288
111	286	2274
112	287	2259
113	288	2245
114	290	2235
115	291	2220
116	292	2207
117	293	2193
118	294	2179
119	295	2166
120	296	2154
121	297	2142
122	298	2130
123	300	2119
124	301	2109
125	302	2098
126	303	2087
127	304	2074
128	305	2064
129	306	2053
130	307	2042
131	309	2032
132	310	2023
133	311	2013
134	313	2010
135	315	2001
136	316	1992
137	317	1981
138	318	1972
139	319	1963
140	320	1955
141	322	1948
142	323	1939
143	324	1929
144	325	1921
145	326	1912
146	328	1904
147	329	1896
148	330	1887
149	331	1878
150	332	1869
151	333	1860
152	334	1851
153	335	1843
154	336	1834
155	337	1826
156	338	1818
157	339	1810
158	341	1804
159	342	1796
160	343	1788
161	344	1782
162	345	1775
163	346	1768
164	348	1763
165	350	1759
166	352	1758
167	353	1751
168	354	1744
169	356	1739
170	357	1734
171	358	1727
172	360	1721
173	361	1714
174	362	1708
175	364	1705
176	365	1699
177	366	1693
178	367	1686
179	369	1681
180	369	1673
181	371	1667
182	372	1662
183	373	1658
184	375	1652
185	376	1647
186	377	1641
187	378	1635
188	379	1629
189	380	1623
190	381	1617
191	383	1613
192	384	1607
193	385	1603
194	387	1599
195	388	1595
196	390	1589
197	391	1584
198	392	1578
199	393	1572
200	394	1567
201	395	1561
202	396	1555
203	397	1552
204	399	1547
205	400	1541
206	401	1536
207	402	1530
208	403	1525
209	404	1520
210	405	1515
211	406	1510
212	407	1505
213	408	1500
214	409	1496
215	412	1496
216	413	1492
217	414	1488
218	415	1483
219	417	1480
220	418	1475
221	419	1471
222	421	1466
223	422	1463
224	423	1459
225	425	1456
226	426	1453
227	428	1450
228	429	1446
229	431	1442
230	432	1438
231	433	1434
232	434	1430
233	435	1426
234	437	1423
235	438	1418
236	439	1414
237	440	1410
238	441	1406
239	443	1404
240	445	1401
241	447	1403
242	449	1400
243	450	1396
244	451	1391
245	452	1388
246	454	1385
247	455	1381
248	456	1377
249	458	1375
250	459	1371
251	460	1367
252	461	1363
253	462	1359
254	463	1355
255	465	1351
256	466	1347
257	467	1343
258	468	1340
259	469	1337
260	471	1334
261	472	1331
262	473	1327
263	475	1324
264	476	1321
265	477	1317
266	479	1315
267	480	1312
268	483	1313
269	484	1310
270	485	1306
271	487	1303
272	488	1300
273	489	1296
274	490	1293
275	492	1291
276	493	1288
277	495	1286
278	497	1285
279	499	1283
280	500	1281
281	501	1278
282	503	1275
283	504	1272
284	506	1270
285	507	1266
286	508	1264
287	509	1260
288	511	1257
289	511	1253
290	513	1249
291	514	1246
292	515	1243
293	516	1240
294	517	1237
295	518	1234
296	519	1230
297	521	1227
298	522	1224
299	523	1221
300	524	1218
301	525	1215
302	526	1211
303	528	1209
304	529	1206
305	530	1203
306	531	1199
307	532	1197
308	533	1193
309	535	1191
310	536	1188
311	537	1185
312	539	1183
313	541	1182
314	543	1181
315	545	1180
316	546	1177
317	548	1175
318	549	1173
319	550	1170
320	552	1168
321	554	1166
322	555	1164
323	556	1161
324	557	1158
325	558	1155
326	560	1153
327	561	1150
328	563	1149
329	566	1149
330	567	1146
331	568	1143
332	569	1140
333	570	1137
334	571	1134
335	572	1131
336	573	1128
337	575	1126
338	576	1123
339	577	1120
340	578	1118
341	579	1115
342	580	1112
343	581	1109
344	582	1106
345	584	1103
346	585	1101
347	586	1098
348	587	1095
349	588	1092
350	590	1091
351	591	1089
352	592	1086
353	593	1083
354	595	1082
355	596	1079
356	598	1078
357	600	1076
358	601	1074
359	602	1071
360	603	1068
361	604	1066
362	606	1063
363	607	1060
364	608	1058
365	609	1056
366	610	1053
367	612	1051
368	613	1048
369	614	1045
370	615	1043
371	616	1040
372	617	1038
373	618	1035
374	619	1033
375	621	1031
376	623	1030
377	626	1030
378	627	1027
379	628	1024
380	629	1022
381	630	1019
382	631	1017
383	632	1014
384	634	1013
385	636	1012
386	637	1010
387	639	1008
388	640	1005
389	641	1003
390	642	1000
391	643	998
392	644	995
393	645	993
394	647	991
395	649	990
396	650	987
397	651	985
398	653	984
399	654	982
400	655	979
401	656	977
402	658	974
403	659	973
404	661	971
405	662	969
406	663	967
407	665	965
408	666	962
409	667	960
410	668	957
411	669	955
412	670	953
413	671	950
414	672	948
415	673	945
416	675	943
417	676	941
418	677	939
419	678	937
420	679	934
421	680	932
422	682	930
423	683	928
424	684	926
425	685	924
426	686	921
427	687	919
428	689	917
429	690	915
430	691	913
431	692	910
432	693	908
433	695	906
434	696	904
435	697	902
436	698	900
437	699	897
438	700	895
439	701	893
440	703	891
441	704	889
442	705	887
443	706	885
444	708	883
445	709	881
446	710	879
447	711	876
448	712	874
449	713	872
450	714	870
451	716	868
452	717	866
453	719	864
454	720	862
455	721	860
456	722	858
457	723	856
458	724	854
459	725	852
460	727	850
461	728	847
462	729	845
463	731	844
464	732	842
465	733	840
466	734	838
467	735	836
468	737	834
469	738	832
470	739	830
471	740	827
472	741	825
473	742	824
474	744	823
475	745	820
476	746	818
477	747	816
478	748	814
479	749	812
480	750	810
481	751	807
482	752	805
